age,interest,pid,sex,race
68,1,Repubican,Male,Non-Whte
77,1,Repubican,Female,Non-Whte
130,1,Independent,Male,White
35,1,Repubican,Female,White
89,4,Democrat,Male,White
30,2,Repubican,Female,White
71,1,Independent,Male,White
72,1,Independent,Female,White
72,1,Democrat,Female,White
80,3,Democrat,Female,White
48,1,Independent,Male,White
67,1,Repubican,Female,White
61,1,Democrat,Female,White
37,3,Repubican,Female,White
37,1,Independent,Male,White
33,2,Democrat,Female,White
50,3,Independent,Male,White
47,2,Democrat,Female,White
45,1,Repubican,Female,White
48,1,Democrat,Female,White
55,2,Democrat,Female,White
18,2,Democrat,Male,Non-Whte
57,1,Independent,Female,White
30,4,Independent,Male,White
27,2,Democrat,Female,Non-Whte
69,2,Independent,Male,White
130,4,Independent,Female,White
48,1,Democrat,Female,White
33,1,Independent,Male,White
67,1,Democrat,Female,White
27,1,Independent,Female,White
64,3,Democrat,Male,White
62,1,Independent,Male,White
83,1,Repubican,Female,White
59,1,Democrat,Female,White
82,2,Democrat,Female,White
43,3,Democrat,Male,White
50,1,Repubican,Male,White
29,1,Democrat,Female,White
85,3,Independent,Male,White
24,2,Repubican,Female,White
18,2,Democrat,Male,Non-Whte
18,1,Independent,Female,Non-Whte
37,2,Democrat,Female,White
53,1,Independent,Female,Non-Whte
27,2,Democrat,Female,White
37,4,Independent,Female,White
43,3,Repubican,Male,White
64,1,Independent,Female,White
48,2,Democrat,Female,White
130,2,Independent,Male,White
31,1,Democrat,Female,Non-Whte
30,1,Independent,Male,White
48,1,Democrat,Female,Non-Whte
27,4,Independent,Male,White
57,2,Democrat,Female,White
57,2,Independent,Male,Non-Whte
36,3,Independent,Male,White
24,2,Democrat,Female,Non-Whte
51,1,Democrat,Male,White
59,2,Independent,Female,White
53,1,Independent,Female,White
46,1,Repubican,Male,Non-Whte
20,1,Democrat,Male,White
53,1,Repubican,Male,White
40,2,Repubican,Female,White
42,1,Independent,Male,White
20,1,Repubican,Male,Non-Whte
130,2,Democrat,Female,White
69,1,Independent,Male,White
65,1,Repubican,Male,White
31,3,Independent,Male,White
23,1,Democrat,Female,White
83,1,Repubican,Female,White
74,1,Democrat,Female,White
31,2,Repubican,Male,White
26,3,Independent,Female,Non-Whte
55,1,Repubican,Female,White
42,1,Repubican,Male,White
75,1,Democrat,Female,White
67,1,Independent,Male,White
34,2,Independent,Female,White
80,1,Democrat,Male,White
58,1,Independent,Female,White
59,1,Repubican,Male,White
61,1,Democrat,Male,White
59,1,Democrat,Female,White
130,3,Independent,Female,Non-Whte
27,3,Independent,Male,White
32,3,Independent,Male,Non-Whte
130,1,Independent,Female,White
53,1,Independent,Male,White
74,1,Independent,Male,White
53,1,Independent,Female,White
75,1,Democrat,Female,White
52,1,Democrat,Male,White
58,1,Democrat,Female,White
130,1,Democrat,Female,White
26,NA,Independent,Male,White
61,2,Independent,Male,White
26,3,Independent,Female,White
65,4,Democrat,Female,White
29,1,Repubican,Male,White
29,1,Repubican,Male,White
46,2,Independent,Female,White
64,1,Repubican,Male,White
58,1,Independent,Male,Non-Whte
58,1,Democrat,Male,Non-Whte
47,1,Repubican,Female,White
60,1,Independent,Female,White
74,1,Repubican,Female,White
54,1,Democrat,Female,White
64,1,Independent,Female,White
44,2,Democrat,Male,Non-Whte
27,1,Democrat,Female,White
22,1,Democrat,Male,Non-Whte
57,1,Independent,Male,White
45,1,Repubican,Female,White
36,NA,Democrat,Female,White
54,2,Independent,Female,White
67,1,Independent,Male,White
28,2,Independent,Male,White
44,1,Independent,Male,White
71,1,Democrat,Male,Non-Whte
28,2,Independent,Male,White
45,1,Democrat,Female,White
130,1,Independent,Male,White
58,1,Independent,Female,White
39,1,Independent,Male,Non-Whte
18,3,Repubican,Female,White
33,3,Repubican,Female,White
55,2,Independent,Male,White
32,3,Independent,Male,White
76,1,Repubican,Male,White
82,1,Repubican,Male,White
21,2,Democrat,Male,White
49,1,Independent,Female,White
54,1,Repubican,Female,White
26,1,Repubican,Male,White
29,4,Independent,Female,White
30,2,Independent,Female,White
26,2,Independent,Male,Non-Whte
28,1,Repubican,Male,White
49,1,Repubican,Female,White
46,1,Democrat,Male,White
58,1,Independent,Male,White
64,1,Democrat,Female,White
80,1,Democrat,Female,White
74,3,Democrat,Female,White
66,1,Repubican,Male,White
70,1,Independent,Female,White
44,2,Independent,Male,White
35,1,Democrat,Female,White
32,3,Independent,Male,Non-Whte
39,2,Democrat,Female,Non-Whte
51,1,Independent,Male,White
52,1,Independent,Male,White
82,1,Repubican,Female,White
71,3,Repubican,Male,White
62,1,Repubican,Male,White
26,1,Repubican,Male,White
77,3,Repubican,Male,White
77,1,Repubican,Female,White
50,1,Repubican,Female,White
28,3,Democrat,Female,White
35,1,Independent,Male,White
39,1,Independent,Male,White
56,1,Democrat,Female,White
50,1,Independent,Female,White
82,4,Repubican,Male,White
26,1,Independent,Female,White
32,1,Independent,Female,Non-Whte
19,2,Independent,Female,White
64,NA,Democrat,Female,Non-Whte
27,1,Independent,Male,White
41,1,Independent,Male,White
46,1,Repubican,Female,White
55,1,Independent,Female,White
43,2,Independent,Male,White
42,3,Democrat,Female,White
56,1,Democrat,Male,White
65,1,Repubican,Female,White
40,1,Democrat,Female,Non-Whte
30,2,Independent,Male,White
58,1,Independent,Female,White
76,2,Repubican,Female,White
22,1,Independent,Female,White
48,1,Independent,Female,White
35,2,Repubican,Male,White
34,2,Democrat,Female,Non-Whte
83,1,Repubican,Male,White
70,1,Repubican,Female,White
75,4,Democrat,Male,White
73,1,Independent,Female,White
30,1,Independent,Female,White
55,2,Democrat,Female,White
69,3,Repubican,Male,White
29,1,Repubican,Male,White
78,2,Democrat,Male,White
74,1,Repubican,Female,Non-Whte
29,4,Independent,Female,White
62,3,Independent,Male,White
41,2,Independent,Male,White
130,3,Repubican,Male,White
42,2,Repubican,Female,White
77,1,Independent,Female,White
48,2,Repubican,Female,White
59,1,Repubican,Male,White
42,1,Independent,Female,White
42,2,Repubican,Female,White
18,1,Democrat,Male,Non-Whte
63,1,Democrat,Female,White
35,1,Repubican,Male,White
37,3,Repubican,Female,White
85,1,Repubican,Female,White
52,2,Repubican,Male,White
19,3,Independent,Male,Non-Whte
77,1,Democrat,Male,White
50,1,Independent,Female,White
60,2,Democrat,Male,White
61,1,Democrat,Male,White
35,2,Independent,Male,White
